recapture_row_id,trial_id,sample_date,sample_time,station_code,flows
{00000006-0000-0000-0000000000000000},19,1999-06-12,09:44:00.000000,Gate 1,10223
{00000007-0000-0000-0000000000000000},20,1999-06-17,09:02:00.000000,Gate 1,10744
{00000008-0000-0000-0000000000000000},21,1999-06-19,08:57:00.000000,Gate 1,11256
{00000009-0000-0000-0000000000000000},23,1999-06-26,08:34:00.000000,Gate 1,12301
{0000000A-0000-0000-0000000000000000},23,1999-06-28,09:21:00.000000,Gate 1,12891
{0000000B-0000-0000-0000000000000000},25,1999-07-05,09:21:00.000000,Gate 1,11994
{0000000C-0000-0000-0000000000000000},26,1999-07-16,09:00:00.000000,Gate 1,12352
{0000000D-0000-0000-0000000000000000},27,1999-07-22,08:51:00.000000,Gate 1,12385
{0000000E-0000-0000-0000000000000000},28,1999-07-26,08:50:00.000000,Gate 1,12184
{0000000F-0000-0000-0000000000000000},29,1999-07-31,09:19:00.000000,Gate 1,11886
{00000011-0000-0000-0000000000000000},29,1999-08-01,09:06:00.000000,Gate 1,12038
{00000012-0000-0000-0000000000000000},30,1999-08-04,08:50:00.000000,Gate 1,11514
{00000013-0000-0000-0000000000000000},31,1999-08-07,08:05:00.000000,Gate 1,9717
{00000014-0000-0000-0000000000000000},32,1999-08-12,09:23:00.000000,Gate 1,9174
{00000015-0000-0000-0000000000000000},32,1999-08-12,09:23:00.000000,Gate 1,9174
{00000016-0000-0000-0000000000000000},33,1999-08-17,09:33:00.000000,Gate 1,8341
{00000017-0000-0000-0000000000000000},203,1998-03-31,13:05:00.000000,Gate 10,36293
{00000018-0000-0000-0000000000000000},204,1998-04-14,19:44:00.000000,Gate 10,14612
{0000001A-0000-0000-0000000000000000},205,1998-04-21,09:01:00.000000,Gate 10,14946
{0000001B-0000-0000-0000000000000000},205,1998-04-22,09:16:00.000000,Gate 10,14944
{0000001C-0000-0000-0000000000000000},206,1998-04-28,08:53:00.000000,Gate 10,14216
{0000001D-0000-0000-0000000000000000},18,1999-06-09,06:19:00.000000,Gate 10,10683
{0000001E-0000-0000-0000000000000000},20,1999-06-17,08:46:00.000000,Gate 10,10744
{0000001F-0000-0000-0000000000000000},20,1999-06-18,08:48:00.000000,Gate 10,10805
