recap_row_id,mark_recap_id,mark_code,fork_length,count,dead
{0000010B-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,103,1,No
{0000010C-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,104,1,No
{0000010D-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,106,1,No
{0000010E-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,134,1,No
{0000010F-0000-0000-0000000000000000},{000000EE-0000-0000-0000000000000000},BSDO,96,1,No
{00000110-0000-0000-0000000000000000},{000000EE-0000-0000-0000000000000000},BSDO,100,1,No
{00000111-0000-0000-0000000000000000},{000000EE-0000-0000-0000000000000000},BSDO,109,1,No
{00000112-0000-0000-0000000000000000},{000000EE-0000-0000-0000000000000000},BSDO,110,1,No
{00000113-0000-0000-0000000000000000},{000000EE-0000-0000-0000000000000000},BSDO,140,1,No
{00000114-0000-0000-0000000000000000},{000000EE-0000-0000-0000000000000000},BSDO,142,1,No
{00000115-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,81,1,No
{00000116-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,102,1,No
{00000117-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,104,1,No
{00000118-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,105,1,No
{00000119-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,106,1,No
{0000011A-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,113,2,No
{0000011B-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,133,1,No
{0000011C-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,135,1,No
{0000011D-0000-0000-0000000000000000},{000000EF-0000-0000-0000000000000000},BSDR,142,1,No
{0000011E-0000-0000-0000000000000000},{0000002C-0000-0000-0000000000000000},BSDR,76,1,No
{0000011F-0000-0000-0000000000000000},{0000002C-0000-0000-0000000000000000},BSDR,78,1,No
{00000120-0000-0000-0000000000000000},{00000009-0000-0000-0000000000000000},B,86,1,No
{00000121-0000-0000-0000000000000000},{00000009-0000-0000-0000000000000000},B,101,1,No
{00000122-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,59,1,No
{00000123-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,74,1,No
{00000124-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,78,1,No
{00000125-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,79,1,No
{00000126-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,88,1,No
{00000127-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,89,1,No
{00000128-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,91,1,No
{00000129-0000-0000-0000000000000000},{0000005A-0000-0000-0000000000000000},BSDR,99,1,No
{0000012A-0000-0000-0000000000000000},{0000005D-0000-0000-0000000000000000},BSDG,80,1,No
{0000012B-0000-0000-0000000000000000},{00000056-0000-0000-0000000000000000},BSDO,81,1,No
{0000012C-0000-0000-0000000000000000},{00000060-0000-0000-0000000000000000},B,82,1,No
{0000012D-0000-0000-0000000000000000},{000000DE-0000-0000-0000000000000000},BSDG,99,1,No
{0000012E-0000-0000-0000000000000000},{000000DE-0000-0000-0000000000000000},BSDG,115,1,No
