recap_row_id,mark_recap_id,mark_code,fork_length,count,dead
{00000005-0000-0000-0000000000000000},{000000DB-0000-0000-0000000000000000},BSDO,57,1,No
{00000006-0000-0000-0000000000000000},{00000050-0000-0000-0000000000000000},B,62,1,No
{00000007-0000-0000-0000000000000000},{00000050-0000-0000-0000000000000000},B,66,1,No
{00000008-0000-0000-0000000000000000},{00000050-0000-0000-0000000000000000},B,89,1,No
{00000009-0000-0000-0000000000000000},{00000050-0000-0000-0000000000000000},B,91,1,No
{0000000A-0000-0000-0000000000000000},{00000050-0000-0000-0000000000000000},B,96,1,No
{0000000B-0000-0000-0000000000000000},{00000026-0000-0000-0000000000000000},B,73,1,No
{0000000C-0000-0000-0000000000000000},{00000026-0000-0000-0000000000000000},B,83,1,No
{0000000D-0000-0000-0000000000000000},{00000026-0000-0000-0000000000000000},B,84,1,No
{0000000E-0000-0000-0000000000000000},{00000026-0000-0000-0000000000000000},B,85,1,No
{0000000F-0000-0000-0000000000000000},{00000082-0000-0000-0000000000000000},B,36,1,No
{00000010-0000-0000-0000000000000000},{00000005-0000-0000-0000000000000000},B,59,1,No
{00000011-0000-0000-0000000000000000},{00000005-0000-0000-0000000000000000},B,84,1,No
{00000012-0000-0000-0000000000000000},{00000038-0000-0000-0000000000000000},BSDG,59,1,No
{00000013-0000-0000-0000000000000000},{00000022-0000-0000-0000000000000000},B,67,1,No
{00000014-0000-0000-0000000000000000},{00000022-0000-0000-0000000000000000},B,90,1,No
{00000015-0000-0000-0000000000000000},{00000022-0000-0000-0000000000000000},B,93,1,No
{00000016-0000-0000-0000000000000000},{00000053-0000-0000-0000000000000000},B,89,1,No
{00000017-0000-0000-0000000000000000},{00000053-0000-0000-0000000000000000},B,91,1,No
{00000018-0000-0000-0000000000000000},{000000B1-0000-0000-0000000000000000},B,78,1,No
{00000019-0000-0000-0000000000000000},{000000CA-0000-0000-0000000000000000},B,36,2,No
{0000001A-0000-0000-0000000000000000},{000000AE-0000-0000-0000000000000000},B,72,1,No
{0000001B-0000-0000-0000000000000000},{000000AA-0000-0000-0000000000000000},B,60,1,No
{0000001C-0000-0000-0000000000000000},{000000AA-0000-0000-0000000000000000},B,70,1,No
{0000001D-0000-0000-0000000000000000},{000000AA-0000-0000-0000000000000000},B,77,1,No
{0000001E-0000-0000-0000000000000000},{000000AA-0000-0000-0000000000000000},B,82,1,No
{0000001F-0000-0000-0000000000000000},{000000AA-0000-0000-0000000000000000},B,87,1,No
{00000020-0000-0000-0000000000000000},{00000097-0000-0000-0000000000000000},BSDG,53,1,No
{00000021-0000-0000-0000000000000000},{00000097-0000-0000-0000000000000000},BSDG,54,1,No
{00000022-0000-0000-0000000000000000},{00000098-0000-0000-0000000000000000},BSDO,51,1,No
{00000023-0000-0000-0000000000000000},{00000098-0000-0000-0000000000000000},BSDO,53,3,No
{00000024-0000-0000-0000000000000000},{00000098-0000-0000-0000000000000000},BSDO,55,2,No
{00000025-0000-0000-0000000000000000},{00000098-0000-0000-0000000000000000},BSDO,56,1,No
{00000026-0000-0000-0000000000000000},{00000098-0000-0000-0000000000000000},BSDO,58,2,No
{00000027-0000-0000-0000000000000000},{00000098-0000-0000-0000000000000000},BSDO,60,2,No
{00000028-0000-0000-0000000000000000},{00000100-0000-0000-0000000000000000},BSDO,58,1,No
{00000029-0000-0000-0000000000000000},{000000FC-0000-0000-0000000000000000},BSDG,54,1,No
{0000002A-0000-0000-0000000000000000},{000000FC-0000-0000-0000000000000000},BSDG,55,1,No
{0000002B-0000-0000-0000000000000000},{000000FC-0000-0000-0000000000000000},BSDG,57,1,No
{0000002C-0000-0000-0000000000000000},{000000FC-0000-0000-0000000000000000},BSDG,58,1,No
{0000002D-0000-0000-0000000000000000},{000000FD-0000-0000-0000000000000000},BSDO,50,1,No
{0000002E-0000-0000-0000000000000000},{000000FD-0000-0000-0000000000000000},BSDO,52,1,No
{0000002F-0000-0000-0000000000000000},{000000FD-0000-0000-0000000000000000},BSDO,56,3,No
{00000030-0000-0000-0000000000000000},{000000FD-0000-0000-0000000000000000},BSDO,57,1,No
{00000031-0000-0000-0000000000000000},{000000FD-0000-0000-0000000000000000},BSDO,58,1,No
{00000032-0000-0000-0000000000000000},{000000FD-0000-0000-0000000000000000},BSDO,60,1,No
{00000033-0000-0000-0000000000000000},{0000001D-0000-0000-0000000000000000},B,63,1,No
{00000034-0000-0000-0000000000000000},{0000001D-0000-0000-0000000000000000},B,67,1,No
{00000035-0000-0000-0000000000000000},{0000001D-0000-0000-0000000000000000},B,71,1,No
{00000036-0000-0000-0000000000000000},{0000001D-0000-0000-0000000000000000},B,79,1,No
{00000037-0000-0000-0000000000000000},{0000001D-0000-0000-0000000000000000},B,90,1,No
{00000038-0000-0000-0000000000000000},{0000001D-0000-0000-0000000000000000},B,92,1,No
{00000039-0000-0000-0000000000000000},{000000A9-0000-0000-0000000000000000},B,71,1,No
{0000003A-0000-0000-0000000000000000},{00000004-0000-0000-0000000000000000},B,84,1,No
{0000003B-0000-0000-0000000000000000},{00000128-0000-0000-0000000000000000},BSDO,52,1,No
{0000003C-0000-0000-0000000000000000},{00000128-0000-0000-0000000000000000},BSDO,54,2,No
{0000003D-0000-0000-0000000000000000},{00000128-0000-0000-0000000000000000},BSDO,56,1,No
{0000003E-0000-0000-0000000000000000},{00000128-0000-0000-0000000000000000},BSDO,57,3,No
{0000003F-0000-0000-0000000000000000},{00000128-0000-0000-0000000000000000},BSDO,59,1,No
{00000040-0000-0000-0000000000000000},{00000128-0000-0000-0000000000000000},BSDO,61,1,No
{00000041-0000-0000-0000000000000000},{0000011C-0000-0000-0000000000000000},B,78,1,No
{00000042-0000-0000-0000000000000000},{0000011C-0000-0000-0000000000000000},B,85,1,No
{00000043-0000-0000-0000000000000000},{0000004B-0000-0000-0000000000000000},B,64,1,No
{00000044-0000-0000-0000000000000000},{0000004B-0000-0000-0000000000000000},B,73,1,No
{00000045-0000-0000-0000000000000000},{0000004B-0000-0000-0000000000000000},B,82,1,No
{00000046-0000-0000-0000000000000000},{00000063-0000-0000-0000000000000000},BSDG,54,2,No
{00000047-0000-0000-0000000000000000},{00000063-0000-0000-0000000000000000},BSDG,55,1,No
{00000048-0000-0000-0000000000000000},{00000063-0000-0000-0000000000000000},BSDG,56,1,No
{00000049-0000-0000-0000000000000000},{00000064-0000-0000-0000000000000000},BSDO,53,1,No
{0000004A-0000-0000-0000000000000000},{00000064-0000-0000-0000000000000000},BSDO,54,1,No
{0000004B-0000-0000-0000000000000000},{00000064-0000-0000-0000000000000000},BSDO,57,1,No
{0000004C-0000-0000-0000000000000000},{00000064-0000-0000-0000000000000000},BSDO,60,1,No
{0000004D-0000-0000-0000000000000000},{0000003A-0000-0000-0000000000000000},B,52,1,No
{0000004E-0000-0000-0000000000000000},{0000003A-0000-0000-0000000000000000},B,56,1,No
{0000004F-0000-0000-0000000000000000},{0000003A-0000-0000-0000000000000000},B,63,1,No
{00000050-0000-0000-0000000000000000},{0000009B-0000-0000-0000000000000000},BSDG,45,1,No
{00000051-0000-0000-0000000000000000},{0000009B-0000-0000-0000000000000000},BSDG,57,1,No
{00000052-0000-0000-0000000000000000},{0000009B-0000-0000-0000000000000000},BSDG,60,1,No
{00000053-0000-0000-0000000000000000},{0000009B-0000-0000-0000000000000000},BSDG,61,1,No
{00000054-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,50,1,No
{00000055-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,52,1,No
{00000056-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,53,2,No
{00000057-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,54,1,No
{00000058-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,56,2,No
{00000059-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,57,6,No
{0000005A-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,58,5,No
{0000005B-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,59,2,No
{0000005C-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,60,5,No
{0000005D-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,62,1,No
{0000005E-0000-0000-0000000000000000},{0000009C-0000-0000-0000000000000000},BSDO,63,1,No
{0000005F-0000-0000-0000000000000000},{0000011D-0000-0000-0000000000000000},B,78,1,No
{00000060-0000-0000-0000000000000000},{0000011D-0000-0000-0000000000000000},B,102,1,No
{00000061-0000-0000-0000000000000000},{00000115-0000-0000-0000000000000000},B,51,1,No
{00000062-0000-0000-0000000000000000},{00000115-0000-0000-0000000000000000},B,57,1,No
{00000063-0000-0000-0000000000000000},{00000115-0000-0000-0000000000000000},B,58,1,No
{00000064-0000-0000-0000000000000000},{00000115-0000-0000-0000000000000000},B,59,2,No
{00000065-0000-0000-0000000000000000},{00000115-0000-0000-0000000000000000},B,61,1,No
{00000066-0000-0000-0000000000000000},{000000D7-0000-0000-0000000000000000},BSDG,54,1,No
{00000067-0000-0000-0000000000000000},{000000D7-0000-0000-0000000000000000},BSDG,57,2,No
{00000068-0000-0000-0000000000000000},{000000D7-0000-0000-0000000000000000},BSDG,58,2,No
{00000069-0000-0000-0000000000000000},{000000D7-0000-0000-0000000000000000},BSDG,59,1,No
{0000006A-0000-0000-0000000000000000},{000000D7-0000-0000-0000000000000000},BSDG,60,2,No
{0000006B-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,52,1,No
{0000006C-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,53,2,No
{0000006D-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,54,1,No
{0000006E-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,56,1,No
{0000006F-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,57,1,No
{00000070-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,58,1,No
{00000071-0000-0000-0000000000000000},{000000D8-0000-0000-0000000000000000},BSDO,60,2,No
{00000072-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,54,1,No
{00000073-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,55,2,No
{00000074-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,56,2,No
{00000075-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,57,3,No
{00000076-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,59,1,No
{00000077-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,60,2,No
{00000078-0000-0000-0000000000000000},{000000A1-0000-0000-0000000000000000},B,66,1,No
{00000079-0000-0000-0000000000000000},{00000036-0000-0000-0000000000000000},BSDG,55,1,No
{0000007A-0000-0000-0000000000000000},{00000036-0000-0000-0000000000000000},BSDG,57,1,No
{0000007B-0000-0000-0000000000000000},{00000036-0000-0000-0000000000000000},BSDG,58,1,No
{0000007C-0000-0000-0000000000000000},{00000036-0000-0000-0000000000000000},BSDG,59,1,No
{0000007D-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,54,1,No
{0000007E-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,55,1,No
{0000007F-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,56,1,No
{00000080-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,57,2,No
{00000081-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,58,2,No
{00000082-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,59,2,No
{00000083-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,60,7,No
{00000084-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,61,1,No
{00000085-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,62,2,No
{00000086-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,63,1,No
{00000087-0000-0000-0000000000000000},{00000037-0000-0000-0000000000000000},BSDO,64,1,No
{00000088-0000-0000-0000000000000000},{00000067-0000-0000-0000000000000000},BSDG,55,2,No
{00000089-0000-0000-0000000000000000},{00000067-0000-0000-0000000000000000},BSDG,56,1,No
{0000008A-0000-0000-0000000000000000},{00000067-0000-0000-0000000000000000},BSDG,57,1,No
{0000008B-0000-0000-0000000000000000},{00000067-0000-0000-0000000000000000},BSDG,60,1,No
{0000008C-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,50,1,No
{0000008D-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,52,1,No
{0000008E-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,54,2,No
{0000008F-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,55,1,No
{00000090-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,59,4,No
{00000091-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,60,2,No
{00000092-0000-0000-0000000000000000},{00000068-0000-0000-0000000000000000},BSDO,62,3,No
{00000093-0000-0000-0000000000000000},{0000006B-0000-0000-0000000000000000},B,55,1,No
{00000094-0000-0000-0000000000000000},{0000006B-0000-0000-0000000000000000},B,56,2,No
{00000095-0000-0000-0000000000000000},{0000006B-0000-0000-0000000000000000},B,57,1,No
{00000096-0000-0000-0000000000000000},{0000006B-0000-0000-0000000000000000},B,59,2,No
{00000097-0000-0000-0000000000000000},{0000006B-0000-0000-0000000000000000},B,61,1,No
{00000098-0000-0000-0000000000000000},{00000116-0000-0000-0000000000000000},B,58,1,No
{00000099-0000-0000-0000000000000000},{00000121-0000-0000-0000000000000000},BSDG,101,1,No
{0000009C-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,95,1,No
{0000009D-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,100,1,No
{0000009E-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,103,1,No
{0000009F-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,118,1,No
{000000A0-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,122,1,No
{000000A1-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,124,1,No
{000000A2-0000-0000-0000000000000000},{000000F1-0000-0000-0000000000000000},BSDG,128,1,No
{000000A3-0000-0000-0000000000000000},{000000A3-0000-0000-0000000000000000},B,56,1,No
{000000A4-0000-0000-0000000000000000},{000000A3-0000-0000-0000000000000000},B,58,1,No
{000000A5-0000-0000-0000000000000000},{000000E2-0000-0000-0000000000000000},BSDG,120,1,No
{000000A6-0000-0000-0000000000000000},{000000F2-0000-0000-0000000000000000},BSDO,89,1,No
{000000A7-0000-0000-0000000000000000},{000000F2-0000-0000-0000000000000000},BSDO,99,1,No
{000000A8-0000-0000-0000000000000000},{000000F2-0000-0000-0000000000000000},BSDO,120,1,No
{000000A9-0000-0000-0000000000000000},{000000F2-0000-0000-0000000000000000},BSDO,139,1,No
{000000AA-0000-0000-0000000000000000},{000000E3-0000-0000-0000000000000000},BSDO,91,1,No
{000000AB-0000-0000-0000000000000000},{000000E3-0000-0000-0000000000000000},BSDO,110,1,No
{000000AC-0000-0000-0000000000000000},{000000E3-0000-0000-0000000000000000},BSDO,111,1,No
{000000AD-0000-0000-0000000000000000},{0000007F-0000-0000-0000000000000000},B,37,1,No
{000000AE-0000-0000-0000000000000000},{0000007F-0000-0000-0000000000000000},B,38,5,No
{000000AF-0000-0000-0000000000000000},{00000080-0000-0000-0000000000000000},B,39,1,No
{000000B0-0000-0000-0000000000000000},{00000081-0000-0000-0000000000000000},B,40,2,No
{000000B1-0000-0000-0000000000000000},{000000C9-0000-0000-0000000000000000},B,36,1,No
{000000B2-0000-0000-0000000000000000},{000000C9-0000-0000-0000000000000000},B,39,1,No
{000000B3-0000-0000-0000000000000000},{000000C9-0000-0000-0000000000000000},B,40,1,No
{000000B4-0000-0000-0000000000000000},{00000126-0000-0000-0000000000000000},B,38,1,No
{000000B5-0000-0000-0000000000000000},{0000010B-0000-0000-0000000000000000},B,36,1,No
{000000B6-0000-0000-0000000000000000},{0000010B-0000-0000-0000000000000000},B,37,1,No
{000000B7-0000-0000-0000000000000000},{0000010B-0000-0000-0000000000000000},B,38,2,No
{000000B8-0000-0000-0000000000000000},{0000010B-0000-0000-0000000000000000},B,40,1,No
{000000B9-0000-0000-0000000000000000},{0000005C-0000-0000-0000000000000000},BSDG,70,1,No
{000000BA-0000-0000-0000000000000000},{0000005C-0000-0000-0000000000000000},BSDG,82,2,No
{000000BB-0000-0000-0000000000000000},{0000005C-0000-0000-0000000000000000},BSDG,85,1,No
{000000BC-0000-0000-0000000000000000},{0000005C-0000-0000-0000000000000000},BSDG,107,1,No
{000000BD-0000-0000-0000000000000000},{000000F9-0000-0000-0000000000000000},B,35,2,No
{000000BE-0000-0000-0000000000000000},{000000F9-0000-0000-0000000000000000},B,36,1,No
{000000BF-0000-0000-0000000000000000},{000000F9-0000-0000-0000000000000000},B,38,1,No
{000000C0-0000-0000-0000000000000000},{000000F9-0000-0000-0000000000000000},B,39,1,No
{000000C1-0000-0000-0000000000000000},{00000044-0000-0000-0000000000000000},B,38,1,No
{000000C2-0000-0000-0000000000000000},{0000011E-0000-0000-0000000000000000},BSDR,98,1,No
{000000C3-0000-0000-0000000000000000},{00000045-0000-0000-0000000000000000},B,37,1,No
{000000C4-0000-0000-0000000000000000},{00000030-0000-0000-0000000000000000},BSDG,59,1,No
{000000C5-0000-0000-0000000000000000},{00000030-0000-0000-0000000000000000},BSDG,77,1,No
{000000C6-0000-0000-0000000000000000},{00000073-0000-0000-0000000000000000},B,33,1,No
{000000C7-0000-0000-0000000000000000},{00000073-0000-0000-0000000000000000},B,34,2,No
{000000C8-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,97,1,No
{000000C9-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,100,1,No
{000000CA-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,101,1,No
{000000CB-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,102,2,No
{000000CC-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,103,1,No
{000000CD-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,104,1,No
{000000CE-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,108,1,No
{000000CF-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,113,1,No
{000000D0-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,119,2,No
{000000D1-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,120,1,No
{000000D2-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,122,1,No
{000000D3-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,127,1,No
{000000D4-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,129,1,No
{000000D5-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,140,1,No
{000000D6-0000-0000-0000000000000000},{000000EA-0000-0000-0000000000000000},BSDR,148,1,No
{000000D7-0000-0000-0000000000000000},{00000094-0000-0000-0000000000000000},B,36,1,No
{000000D8-0000-0000-0000000000000000},{000000B8-0000-0000-0000000000000000},BSDG,81,1,No
{000000D9-0000-0000-0000000000000000},{000000DC-0000-0000-0000000000000000},BSDR,98,1,No
{000000DA-0000-0000-0000000000000000},{000000DC-0000-0000-0000000000000000},BSDR,99,1,No
{000000DB-0000-0000-0000000000000000},{000000DC-0000-0000-0000000000000000},BSDR,105,1,No
{000000DC-0000-0000-0000000000000000},{00000013-0000-0000-0000000000000000},BSDG,70,1,No
{000000DD-0000-0000-0000000000000000},{00000013-0000-0000-0000000000000000},BSDG,72,1,No
{000000DE-0000-0000-0000000000000000},{00000013-0000-0000-0000000000000000},BSDG,85,1,No
{000000DF-0000-0000-0000000000000000},{000000BC-0000-0000-0000000000000000},B,33,1,No
{000000E0-0000-0000-0000000000000000},{000000BC-0000-0000-0000000000000000},B,34,1,No
{000000E1-0000-0000-0000000000000000},{000000BC-0000-0000-0000000000000000},B,37,1,No
{000000E2-0000-0000-0000000000000000},{00000101-0000-0000-0000000000000000},B,33,1,No
{000000E3-0000-0000-0000000000000000},{00000101-0000-0000-0000000000000000},B,34,1,No
{000000E4-0000-0000-0000000000000000},{00000101-0000-0000-0000000000000000},B,35,2,No
{000000E5-0000-0000-0000000000000000},{00000101-0000-0000-0000000000000000},B,37,1,No
{000000E6-0000-0000-0000000000000000},{00000052-0000-0000-0000000000000000},B,68,1,No
{000000E7-0000-0000-0000000000000000},{00000052-0000-0000-0000000000000000},B,83,1,No
{000000E8-0000-0000-0000000000000000},{00000052-0000-0000-0000000000000000},B,89,1,No
{000000E9-0000-0000-0000000000000000},{00000052-0000-0000-0000000000000000},B,91,1,No
{000000EA-0000-0000-0000000000000000},{00000052-0000-0000-0000000000000000},B,94,1,No
{000000EB-0000-0000-0000000000000000},{00000090-0000-0000-0000000000000000},B,39,1,No
{000000EC-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,79,1,No
{000000ED-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,80,1,No
{000000EE-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,83,1,No
{000000EF-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,84,1,No
{000000F0-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,90,2,No
{000000F1-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,91,1,No
{000000F2-0000-0000-0000000000000000},{00000024-0000-0000-0000000000000000},B,93,1,No
{000000F3-0000-0000-0000000000000000},{000000F0-0000-0000-0000000000000000},BSDR,90,1,No
{000000F4-0000-0000-0000000000000000},{000000F0-0000-0000-0000000000000000},BSDR,99,1,No
{000000F5-0000-0000-0000000000000000},{000000F0-0000-0000-0000000000000000},BSDR,113,1,No
{000000F6-0000-0000-0000000000000000},{000000AF-0000-0000-0000000000000000},B,69,1,No
{000000F7-0000-0000-0000000000000000},{0000003D-0000-0000-0000000000000000},B,32,1,No
{000000F8-0000-0000-0000000000000000},{0000003D-0000-0000-0000000000000000},B,34,1,No
{000000F9-0000-0000-0000000000000000},{0000003D-0000-0000-0000000000000000},B,35,1,No
{000000FA-0000-0000-0000000000000000},{0000003D-0000-0000-0000000000000000},B,37,1,No
{000000FB-0000-0000-0000000000000000},{000000A0-0000-0000-0000000000000000},BSDO,62,1,No
{000000FC-0000-0000-0000000000000000},{00000057-0000-0000-0000000000000000},BSDO,80,1,No
{000000FD-0000-0000-0000000000000000},{00000057-0000-0000-0000000000000000},BSDO,86,1,No
{000000FE-0000-0000-0000000000000000},{00000057-0000-0000-0000000000000000},BSDO,94,1,No
{000000FF-0000-0000-0000000000000000},{00000021-0000-0000-0000000000000000},B,69,1,No
{00000100-0000-0000-0000000000000000},{00000021-0000-0000-0000000000000000},B,78,1,No
{00000101-0000-0000-0000000000000000},{00000051-0000-0000-0000000000000000},B,76,1,No
{00000102-0000-0000-0000000000000000},{00000025-0000-0000-0000000000000000},B,83,1,No
{00000103-0000-0000-0000000000000000},{00000058-0000-0000-0000000000000000},BSDR,87,1,No
{00000104-0000-0000-0000000000000000},{000000EC-0000-0000-0000000000000000},BSDR,89,1,No
{00000105-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,89,1,No
{00000106-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,93,1,No
{00000107-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,94,1,No
{00000108-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,96,1,No
{00000109-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,100,1,No
{0000010A-0000-0000-0000000000000000},{000000ED-0000-0000-0000000000000000},BSDG,101,2,No
