mark_row_id,mark_sample_row_id,source,fish_origin,fork_length,count,dead
{00000005-0000-0000-0000000000000000},{00000005-0000-0000-0000000000000000},rbdd,wild,38,7,NA
{00000006-0000-0000-0000000000000000},{00000005-0000-0000-0000000000000000},rbdd,wild,39,1,NA
{00000007-0000-0000-0000000000000000},{00000005-0000-0000-0000000000000000},rbdd,wild,40,1,NA
{00000008-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,34,3,NA
{00000009-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,35,10,NA
{0000000A-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,36,12,NA
{0000000B-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,37,9,NA
{0000000C-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,38,5,NA
{0000000D-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,39,2,NA
{0000000E-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,40,1,NA
{0000000F-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,41,2,NA
{00000010-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,44,1,NA
{00000011-0000-0000-0000000000000000},{00000007-0000-0000-0000000000000000},rbdd,wild,47,1,NA
{00000012-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,62,1,NA
{00000013-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,63,1,NA
{00000014-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,65,2,NA
{00000015-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,67,1,NA
{00000016-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,69,1,NA
{00000017-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,70,2,NA
{00000018-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,71,2,NA
{00000019-0000-0000-0000000000000000},{0000000B-0000-0000-0000000000000000},rbdd,wild,72,6,NA
